id,comment,pagination-url
1617730617-6781,"😘 Đã ở đây và thấy ấm áp như ở nhà. Cô chú chủ khách sạn rất thân thiện, nhất là Cô lúc nào cũng niềm nở tươi cười. Có 2 em lễ tân rất nhiệt tình, còn đặt vé xe giúp. Giá thuê xe rẻ. 
😍 Vị trí khách sạn lại rất tuyệt, gần biển gần luôn nhiều chỗ ăn ngon. 
😍 Về phần phòng ở sạch sẽ nhỏ nhỏ nhưng đầy đủ và trang trí đẹp. Có ban công thoáng mát. hihi. Giá cả lại rất hợp lí. Nước bán siêu rẻ nữa... 
Sẽ ở đây nếu có dịp về Vũng Tàu 😍",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=200;rows=25
1617730621-6863,"Có cửa sổ ban công thoáng mát, sáng sủa, wifi mạnh. Địa điểm thuận tiện ra biển hoặc ăn uống. Chú chủ ks thân thiện.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=225;rows=25
1617730632-7087,Phòng rộng,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=300;rows=25
1617730635-7195,"Thái độ phục vụ rất nhiệt tình, chu đáo.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
1617730600-6440,Thoải mái.,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=75;rows=25
1617730611-6664,"Phòng đẹp, đáng tiền.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=150;rows=25
1617730629-7002,"Vị trí hơi xa biển ( khoảng 700m), nhưng bù lại xung quanh có nhiều quán ăn và nhà hàng tốt 👍",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=275;rows=25
1617730638-7252,"Phòng ko giống trên hình, ko có ban công, phòng khá là bí và nhỏ, ồn và cách âm ko tốt",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=350;rows=25
1617730617-6792,"Phòng sạch sẽ,  có ban công . Anh Hòa và bác rất tận tình , dễ thương.  Nhất là bác chỉ những quán ăn rất ngon",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=200;rows=25
1617730629-7020,"Chú và anh đều dễ thương, mình ở 2 người mà cho mình phòng lớn 2 giường đôi luôn.
Phòng có sofa và ban công có ghế đá luôn nhé.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=275;rows=25
